Date,Open,High,Low,Close,Adj Close,Volume
2023-03-31,120.73999786376953,122.51000213623047,119.0,121.91000366210938,121.91000366210938,172300
2023-04-03,129.8300018310547,135.6199951171875,128.86000061035156,132.50999450683594,132.50999450683594,419300
2023-04-04,133.77999877929688,133.77999877929688,124.16000366210938,126.55000305175781,126.55000305175781,205600
2023-04-05,126.08999633789062,127.55000305175781,123.23999786376953,125.44000244140625,125.44000244140625,126100
2023-04-06,124.58999633789062,125.41000366210938,121.18000030517578,121.38999938964844,121.38999938964844,112200
2023-04-10,121.25,126.1500015258789,121.25,123.20999908447266,123.20999908447266,159500
2023-04-11,123.94999694824219,125.13999938964844,121.79000091552734,122.51000213623047,122.51000213623047,207600
2023-04-12,124.30999755859375,125.18000030517578,120.41999816894531,123.44999694824219,123.44999694824219,196000
2023-04-13,124.0,126.23999786376953,123.47000122070312,123.56999969482422,123.56999969482422,167700
2023-04-14,123.16000366210938,123.9800033569336,117.36000061035156,119.01000213623047,119.01000213623047,213200
2023-04-17,119.19000244140625,121.26000213623047,116.61000061035156,118.0,118.0,211900
2023-04-18,119.88999938964844,119.88999938964844,115.47000122070312,118.08999633789062,118.08999633789062,174100
2023-04-19,115.54000091552734,119.26000213623047,114.29000091552734,119.05999755859375,119.05999755859375,244200
2023-04-20,115.70999908447266,117.12000274658203,113.23999786376953,114.62999725341797,114.62999725341797,244700
2023-04-21,115.66000366210938,115.66000366210938,111.08000183105469,112.18000030517578,112.18000030517578,143000
2023-04-24,112.19999694824219,121.7699966430664,111.44000244140625,120.36000061035156,120.36000061035156,357900
2023-04-25,117.94999694824219,118.95999908447266,107.81999969482422,108.26000213623047,108.26000213623047,321900
2023-04-26,107.97000122070312,109.91999816894531,102.47000122070312,104.55999755859375,104.55999755859375,265600
2023-04-27,103.77999877929688,105.55999755859375,96.31999969482422,99.44999694824219,99.44999694824219,530700
2023-04-28,99.44999694824219,103.0,97.47000122070312,99.73999786376953,99.73999786376953,347800
