Date,Adj Close,Close,High,Low,Open,Volume
2023-05-09,201.47059631347656,216.4600067138672,218.41000366210938,216.35000610351562,218.13999938964844,78700
2023-05-10,199.329833984375,214.16000366210938,216.64999389648438,211.32000732421875,216.55999755859375,146300
2023-05-11,198.19435119628906,212.94000244140625,213.3800048828125,211.8800048828125,213.3000030517578,98600
2023-05-12,196.9750518798828,211.6300048828125,213.08999633789062,209.50999450683594,213.08999633789062,159900
2023-05-15,198.4084014892578,213.1699981689453,213.27999877929688,210.89999389648438,212.22000122070312,81800
2023-05-16,194.89015197753906,209.38999938964844,212.8800048828125,209.38999938964844,212.8800048828125,96100
2023-05-17,194.68540954589844,209.1699981689453,210.22000122070312,206.61000061035156,209.4499969482422,120500
2023-05-18,194.02456665039062,208.4600067138672,209.1699981689453,206.02999877929688,208.07000732421875,138300
2023-05-19,193.22413635253906,207.60000610351562,210.47999572753906,205.24000549316406,209.5,92500
2023-05-22,191.01821899414062,205.22999572753906,208.77999877929688,203.47000122070312,207.92999267578125,189900
2023-05-23,192.31198120117188,206.6199951171875,209.1699981689453,204.67999267578125,205.22999572753906,161100
2023-05-24,190.9717254638672,205.17999267578125,207.99000549316406,205.10000610351562,206.3699951171875,85100
2023-05-25,191.1485137939453,205.3699951171875,206.8699951171875,203.47999572753906,204.67999267578125,66900
2023-05-26,189.38941955566406,203.47999572753906,205.67999267578125,202.5800018310547,205.36000061035156,65900
2023-05-30,184.6984405517578,198.44000244140625,202.6999969482422,198.44000244140625,202.6999969482422,80100
2023-05-31,182.96725463867188,196.5800018310547,200.72000122070312,196.38999938964844,199.0,121000
2023-06-01,183.3395233154297,196.97999572753906,198.74000549316406,196.5500030517578,196.5800018310547,92900
2023-06-02,189.4824981689453,203.5800018310547,203.82000732421875,197.0,197.83999633789062,114500
2023-06-05,186.0480499267578,199.88999938964844,202.1199951171875,199.30999755859375,202.1199951171875,64700
2023-06-06,186.98805236816406,200.89999389648438,201.6999969482422,198.08999633789062,199.58999633789062,79000
2023-06-07,186.96014404296875,200.8699951171875,201.60000610351562,197.99000549316406,199.97999572753906,143300
2023-06-08,186.36196899414062,199.3800048828125,200.22000122070312,197.80999755859375,199.27999877929688,109400
2023-06-09,185.38050842285156,198.3300018310547,199.08999633789062,197.63999938964844,198.6300048828125,102700
2023-06-12,178.0243682861328,190.4600067138672,198.89999389648438,187.63999938964844,198.74000549316406,294500
2023-06-13,176.8372802734375,189.19000244140625,193.22000122070312,189.16000366210938,190.47000122070312,186700
2023-06-14,176.40728759765625,188.72999572753906,190.9199981689453,188.0,189.1199951171875,341900
2023-06-15,174.70616149902344,186.91000366210938,192.08999633789062,186.42999267578125,189.83999633789062,172000
2023-06-16,173.8929443359375,186.0399932861328,188.6199951171875,183.8000030517578,188.39999389648438,350900
2023-06-20,173.49102783203125,185.61000061035156,187.3300018310547,183.66000366210938,186.27999877929688,189400
2023-06-21,175.7623748779297,188.0399932861328,188.4199981689453,184.92999267578125,185.4499969482422,180000
2023-06-22,179.1740264892578,191.69000244140625,191.9199981689453,187.52999877929688,188.89999389648438,162300
