# Description: S&P 400 investment options. 10/02/2020

# Format
"Investment Option","Description","Asset Class","3 mo","6 mo","1 Yr","1-1 Yr","3 Yr","5 Yr","Vola","DS Vola","SD 1 Yr","SD 3 Yr","SD 5 Yr"
"NABL","N-able, Inc.","US Stocks:Technology","-53.67","-57.51","-25.11","-24.68","-26.19","-26.19","61.32","34.02","38.72","34.16","33.74"
"NATL","NCR Atleos","US Stocks:Financials","126.48","36.02","61.42","67.00","61.42","61.42","15.99","8.82","34.37","41.97","41.97"
"NAVI","Navient","US Stocks:Financials","-4.76","-42.26","-17.81","-18.07","-12.51","-4.70","36.48","18.97","36.03","32.91","32.36"
"NBHC","National Bank Holdings Corporation","US Stocks:Financials","29.87","33.02","21.56","26.45","13.61","4.62","23.20","10.02","14.89","23.44","25.48"
"NBTB","NBT Bancorp, Inc.","US Stocks:Financials","14.34","19.14","6.44","8.26","13.26","6.15","25.90","17.00","13.37","28.31","27.61"
"NE","Noble Corporation","US Stocks:Energy","365.68","188.00","154.99","158.44","14.19","14.19","44.32","22.24","33.64","37.85","40.80"
"NEO","NeoGenomics Laboratories, Inc.","US Stocks:Healthcare","-72.56","-22.23","-10.13","-12.17","-16.77","-29.10","52.72","27.27","101.31","75.77","75.20"
"NEOG","Neogen","US Stocks:Healthcare","-42.57","110.51","75.29","81.01","-19.64","-28.28","45.35","25.84","59.91","58.44","55.14"
"NGVT","Ingevity, Corp.","US Stocks:Materials","47.98","69.71","124.69","127.31","0.33","0.40","26.30","14.54","44.80","49.57","43.47"
"NHC","National Healthcare, Corp.","US Stocks:Healthcare","154.99","115.16","86.29","88.33","48.42","22.84","45.92","20.48","27.12","31.50","27.55"
"NMIH","NMI Holdings, Inc.","US Stocks:Financials","36.54","30.90","22.86","24.19","21.79","11.84","18.71","7.63","22.83","20.93","24.83"
"NOG","Northern Oil and Gas, Inc.","US Stocks:Energy","83.81","72.17","20.55","22.01","-1.00","23.00","48.17","33.97","27.31","33.48","42.04"
"NPK","National Presto Industries, Inc.","US Stocks:Industrials","79.18","68.36","67.35","75.15","28.90","10.25","34.72","18.77","29.00","27.19","24.96"
"NPO","EnPro Industries, Inc.","US Stocks:Industrials","108.77","50.18","87.13","94.20","43.29","28.44","39.56","18.65","26.91","39.04","37.31"
"NSIT","Insight Enterprises, Inc.","US Stocks:Industrials","-41.62","-52.65","-47.02","-46.63","-15.15","-5.87","37.04","19.27","33.53","32.43","32.39"
"NSP","Insperity","US Stocks:Industrials","-22.23","-26.97","-49.48","-52.37","-30.23","-12.71","68.57","27.57","72.49","49.67","42.70"
"NSSC","Napco Security Technologies","US Stocks:Technology","92.14","6.39","101.34","102.55","10.86","23.23","21.24","6.84","46.20","64.24","54.92"
"NTCT","NETSCOUT Systems, Inc.","US Stocks:Technology","94.99","51.15","57.13","55.27","5.18","3.66","24.58","13.63","24.65","27.99","26.95"
"NWBI","Northwest Bancshares, Inc.","US Stocks:Financials","53.00","28.74","23.85","28.63","13.05","6.26","26.62","11.11","18.42","25.60","23.31"
"NWL","Newell Brands","US Stocks:Consumer Discretionary","-25.77","-35.73","-18.14","-15.02","-28.41","-28.65","47.76","22.07","52.73","57.21","48.78"
"NWN","NW Natural","US Stocks:Utilities","81.97","30.33","26.93","26.98","8.66","3.49","17.55","9.86","19.19","19.25","21.07"
"NX","Quanex Building Products Corporation","US Stocks:Industrials","29.09","69.57","21.34","26.01","0.10","-4.93","48.50","19.11","49.93","44.38","40.96"
"NXRT","NexPoint Residential Trust, Inc.","US Stocks:Real Estate","-9.51","-7.55","-17.36","-15.24","-8.69","-7.01","41.96","15.66","24.31","31.06","32.37"
"OFG","OFG Bancorp","US Stocks:Financials","107.76","34.49","17.83","23.42","24.18","17.37","25.45","9.71","17.79","27.92","26.38"
"OGN","Organon & Co.","US Stocks:Healthcare","412.05","260.73","5.88","10.23","-13.92","-13.92","164.49","34.63","134.93","86.06","71.79"
"OI","O-I Glass, Inc.","US Stocks:Materials","-89.03","-49.98","-27.74","-14.17","-26.09","-9.87","62.75","53.59","42.61","39.33","39.33"
"OII","Oceaneering International, Inc.","US Stocks:Energy","116.74","140.78","100.67","110.77","26.53","28.79","38.64","22.14","29.04","41.00","55.30"
"OMCL","Omnicell","US Stocks:Healthcare","-40.34","99.17","39.75","47.00","-11.59","-20.73","79.39","21.79","46.98","54.96","48.98"
"OSIS","OSI Systems, Inc.","US Stocks:Technology","16.31","23.12","39.87","42.45","40.09","23.59","33.37","16.35","22.55","32.99","31.96"
"OSW","OneSpaWorld Holdings Limited","US Stocks:Consumer Discretionary","172.60","36.97","45.30","40.78","28.21","19.25","36.46","18.53","25.93","30.50","31.50"
"OTTR","Otter Tail Corporation","US Stocks:Utilities","10.46","32.19","16.01","17.82","8.76","16.19","23.06","15.93","17.39","19.20","22.74"
"OUT","Outfront Media","US Stocks:Real Estate","152.69","205.76","110.17","114.99","32.14","12.21","18.55","4.06","36.40","40.82","38.62"
"OXM","Oxford Industries, Inc.","US Stocks:Consumer Discretionary","64.08","13.03","-11.61","-9.16","-23.84","-11.04","45.92","27.41","38.08","36.35","36.29"
"PAHC","Phibro Animal Health","US Stocks:Healthcare","238.30","60.10","188.66","205.80","53.48","19.00","47.64","28.60","54.38","46.90","43.63"
"PARR","Par Pacific Holdings, Inc.","US Stocks:Energy","1031.07","164.56","353.96","335.40","40.49","36.49","66.89","39.93","64.33","55.75","52.01"
"PAYC","Paycom","US Stocks:Industrials","-28.80","-58.77","-43.06","-44.71","-24.03","-19.62","40.54","22.51","28.18","39.78","39.02"
"PAYO","Payoneer Global Inc.","US Stocks:Financials","-58.71","-33.44","-27.34","-25.68","-3.50","-13.22","38.79","22.99","40.07","46.21","50.80"
"PATK","Patrick Industries, Inc.","US Stocks:Consumer Discretionary","-72.83","-19.17","20.34","20.29","28.79","11.95","58.89","38.79","33.35","36.60","38.16"
"PBH","Prestige Consumer Healthcare","US Stocks:Healthcare","-38.07","-19.43","-30.80","-27.05","-3.53","4.11","44.80","34.25","22.52","24.35","24.97"
"PBI","Pitney Bowes, Inc.","US Stocks:Industrials","504.16","82.48","90.53","92.96","68.96","18.44","41.53","3.43","46.24","46.02","47.11"
"PCRX","Pacira BioSciences, Inc.","US Stocks:Healthcare","131.55","38.91","-7.37","-1.21","-18.11","-17.16","30.54","13.69","44.93","48.40","41.47"
"PDFS","PDF Solutions, Inc.","US Stocks:Technology","81.54","93.84","116.45","113.75","0.52","17.76","60.47","39.08","38.69","41.73","43.48"
"PEB","Pebblebrook Hotel Trust","US Stocks:Real Estate","157.82","66.99","57.75","54.58","0.72","-9.54","24.46","9.33","21.86","29.78","33.54"
"PECO","Phillips Edison & Company","US Stocks:Real Estate","69.95","36.35","17.94","19.22","12.66","50.07","17.89","8.01","13.76","17.57","128.07"
"PENG","Penguin Solutions, Inc.","US Stocks:Technology","336.88","56.63","65.08","63.20","22.60","1.61","71.89","21.72","68.17","67.58","61.39"
"PENN","Penn Entertainment","US Stocks:Consumer Discretionary","227.17","-2.42","12.64","11.46","-15.55","-27.61","66.04","19.06","43.08","40.19","41.98"
"PFBC","Preferred Bank","US Stocks:Financials","71.35","4.36","21.82","23.75","27.37","11.36","19.33","10.97","13.94","25.24","26.78"
"PFS","Provident Financial Services, Inc.","US Stocks:Financials","8.09","46.06","42.51","46.04","13.78","4.56","22.23","12.88","17.71","29.80","28.94"
"PGNY","Progyny","US Stocks:Healthcare","-68.20","-11.04","-19.03","-19.24","-18.89","-18.44","31.39","15.19","53.16","46.96","49.03"
"PHIN","PHINIA, Inc.","US Stocks:Consumer Discretionary","21.08","75.47","80.34","81.37","80.34","80.34","36.12","16.52","27.89","33.49","33.49"
"PI","Impinj, Inc.","US Stocks:Technology","-69.52","-74.54","32.14","29.82","-4.31","17.52","34.96","16.11","62.24","57.64","61.37"
"PIPR","Piper Sandler Companies","US Stocks:Financials","-1.67","0.96","48.12","51.55","38.09","28.55","24.71","11.12","26.87","29.24","32.99"
"PJT","PJT Partners, Inc.","US Stocks:Financials","-47.27","-30.16","13.04","14.47","27.83","18.37","27.60","9.52","25.11","30.20","27.49"
"PLAB","Photronics, Inc.","US Stocks:Technology","212.11","295.19","156.97","157.79","47.52","31.50","43.10","22.33","40.16","52.09","54.68"
"PLMR","Palomar Holdings, Inc.","US Stocks:Financials","15.16","18.65","-16.97","-13.81","33.17","11.72","33.36","19.24","30.85","34.27","42.50"
"PLUS","ePlus, Inc.","US Stocks:Technology","-3.03","27.83","34.51","34.32","21.55","11.22","25.67","10.74","32.98","35.97","35.84"
"PLXS","Plexus Corp.","US Stocks:Technology","268.68","205.95","99.36","94.27","40.24","22.75","31.87","13.46","39.03","32.96","32.05"
"PMT","PennyMac Mortgage Investment Trust","US Stocks:Real Estate","-28.08","3.31","8.28","13.88","13.02","2.58","19.69","10.45","15.65","19.37","29.30"
"POWI","Power Integrations","US Stocks:Technology","401.81","167.84","40.79","32.82","-1.45","-2.07","56.74","26.43","54.11","41.00","40.15"
"POWL","Powell Industries, Inc.","US Stocks:Industrials","766.61","314.23","311.94","312.45","168.80","89.05","46.11","9.99","57.26","70.03","65.17"
"PPLI","People Inc.","US Stocks:Communication Services","81.27","75.51","25.72","23.99","3.37","-19.61","19.01","7.06","22.74","30.53","33.78"
"PRA","ProAssurance Corporation","US Stocks:Financials","9.41","5.38","7.01","7.19","10.65","-0.95","7.56","5.74","4.35","44.67","40.45"
"PRAA","PRA Group, Inc.","US Stocks:Financials","716.86","119.46","18.24","21.48","-16.55","-10.05","24.76","7.48","57.23","69.37","56.43"
"PRDO","Perdoceo Education Corp.","US Stocks:Consumer Discretionary","38.63","-12.28","40.08","38.24","40.23","25.31","37.15","28.09","49.30","39.45","37.58"
"PRG","PROG Holdings, Inc.","US Stocks:Financials","50.88","31.38","40.92","14.35","14.15","-2.77","93.58","22.62","38.33","44.54","49.69"
"PRGO","Perrigo","US Stocks:Healthcare","-53.12","-72.32","-53.11","-52.25","-29.35","-20.62","32.71","16.03","38.72","38.33","37.16"
"PRGS","Progress Software Corporation","US Stocks:Technology","-81.22","-64.45","-53.94","-53.02","-20.99","-9.41","63.84","37.37","43.91","34.49","30.31"
"PRIM","Primoris Services Corporation","US Stocks:Industrials","54.15","37.52","172.08","179.80","90.33","39.13","41.58","15.36","39.28","39.86","40.41"
"PRK","Park National Corp.","US Stocks:Financials","30.04","19.83","14.90","23.03","18.94","9.92","24.68","15.33","16.19","25.82","24.92"
"PRKS","United Parks & Resorts","US Stocks:Consumer Discretionary","-42.26","-60.49","-25.48","-21.94","-15.09","-10.22","40.58","23.15","30.18","26.18","32.84"
"PRLB","Protolabs","US Stocks:Industrials","107.73","31.23","75.93","81.06","28.46","-10.55","29.78","10.92","24.00","49.94","48.50"
"PRSU","Pursuit Attractions & Hospitality, Inc.","US Stocks:Consumer Discretionary","90.33","20.90","37.44","38.06","29.88","0.56","26.45","12.07","26.05","37.62","40.77"
"PRVA","Privia Health Group, Inc.","US Stocks:Healthcare","38.24","-7.92","6.42","7.21","-2.18","-2.18","23.61","9.58","34.97","34.73","45.60"
"PSMT","PriceSmart","US Stocks:Consumer Staples","40.45","59.97","56.30","57.13","28.94","14.13","30.86","17.36","21.83","24.04","25.81"
"PTCT","PTC Therapeutics, Inc.","US Stocks:Healthcare","-46.85","-7.40","29.72","41.85","6.89","6.63","41.30","30.96","40.47","47.38","46.72"
"PTEN","Patterson-UTI Energy, Inc.","US Stocks:Energy","744.86","273.11","116.92","104.89","3.62","17.93","73.58","46.41","41.34","45.51","54.83"
"PTGX","Protagonist Therapeutics, Inc.","US Stocks:Healthcare","110.83","71.41","121.94","127.49","60.68","27.40","40.30","20.92","30.99","45.66","72.76"
"PTON","Peloton Interactive, Inc.","US Stocks:Consumer Discretionary","-17.25","-47.94","-15.61","-16.38","-15.83","-44.04","43.18","18.36","52.06","73.44","79.24"
"PZZA","Papa John's Pizza","US Stocks:Consumer Discretionary","-2.32","-51.57","8.79","14.32","-19.27","-15.47","38.14","18.06","46.38","39.73","36.77"
"QDEL","QuidelOrtho","US Stocks:Healthcare","-96.62","-84.81","-60.32","-57.21","-50.12","-37.68","131.01","97.92","52.99","47.69","44.49"
"QNST","QuinStreet, Inc.","US Stocks:Communication Services","-26.35","-23.22","-25.43","-24.53","3.76","-8.39","29.69","19.88","21.95","33.06","40.28"
"QRVO","Qorvo","US Stocks:Technology","57.63","-11.89","35.55","33.07","-2.04","-14.30","22.74","10.59","24.41","35.94","35.07"
"QTWO","Q2 Holdings, Inc.","US Stocks:Technology","-57.64","-28.94","-33.29","-36.60","29.86","-12.67","51.32","33.31","40.38","39.34","41.32"
"RAMP","LiveRamp Holdings, Inc.","US Stocks:Technology","103.05","10.63","10.06","10.10","8.81","-9.24","37.97","20.66","37.53","36.26","38.94"
"RAL","Ralliant Corp","US Stocks:Technology","-53.77","0.74","nan","nan","nan","nan","31.75","11.80","26.66","26.66","26.66"
"RCUS","Arcus Biosciences, Inc.","US Stocks:Healthcare","52.89","68.30","192.48","198.80","7.71","-7.01","61.98","31.02","59.46","54.61","60.86"
"RDN","Radian Group, Inc.","US Stocks:Financials","69.73","26.74","21.93","17.92","20.58","12.62","18.10","5.34","23.91","24.06","24.78"
"RDNT","RadNet, Inc.","US Stocks:Healthcare","-63.00","-53.12","9.52","15.18","26.12","20.35","30.03","19.13","42.08","42.05","41.63"
"RELY","Remitly","US Stocks:Financials","569.19","66.78","9.40","7.78","7.12","7.12","29.92","9.66","56.15","51.49","54.70"
"RES","RPC, Inc.","US Stocks:Energy","147.63","181.80","63.60","61.74","2.93","12.70","59.87","37.14","33.60","35.05","54.41"
"REYN","Reynolds Consumer Products","US Stocks:Consumer Staples","-28.23","-21.52","-8.47","-6.26","-6.26","-4.42","24.08","15.28","21.37","19.70","19.84"
"REX","REX American Resources Corporation","US Stocks:Energy","330.91","131.89","135.74","133.37","49.49","29.20","26.52","14.94","29.44","37.66","34.40"
"REZI","Resideo Technologies, Inc.","US Stocks:Industrials","105.95","-17.57","145.18","150.55","30.58","6.00","25.58","9.21","53.22","52.12","48.59"
"RHI","Robert Half","US Stocks:Industrials","14.65","-5.43","-33.99","-32.55","-24.69","-17.64","70.84","35.98","48.90","36.05","32.35"
"RHP","Ryman Hospitality Properties","US Stocks:Real Estate","59.19","47.64","24.59","26.35","9.22","9.56","22.41","9.75","21.62","22.35","26.48"
"RITM","Rithm Capital","US Stocks:Financials","-51.76","-13.98","-3.31","2.61","16.77","9.11","24.05","13.15","16.73","19.22","26.56"
"RNG","RingCentral, Inc.","US Stocks:Technology","395.18","76.45","60.79","57.62","12.22","-34.28","64.53","38.30","47.89","48.95","48.11"
"RNST","Renasant Corp.","US Stocks:Financials","19.28","32.91","26.45","28.48","15.50","2.40","22.06","9.55","19.71","27.75","29.72"
"ROCK","Gibraltar Industries, Inc.","US Stocks:Industrials","-70.84","-68.91","-28.64","-24.45","-8.91","-16.34","52.43","35.96","30.63","33.66","35.11"
"ROG","Rogers Corporation","US Stocks:Technology","208.91","117.00","120.71","125.43","-7.08","-8.52","36.80","12.08","25.74","29.81","39.65"
"RRR","Red Rock Resorts, Inc.","US Stocks:Consumer Discretionary","-24.00","-3.45","38.11","37.64","10.42","15.65","22.20","11.43","31.13","28.64","34.70"
"RUN","Sunrun","US Stocks:Industrials","-90.36","-66.17","59.07","75.51","-18.18","-25.82","57.78","33.39","70.86","80.44","78.44"
"RUSHA","Rush Enterprises","US Stocks:Industrials","80.31","105.31","44.21","48.30","27.53","19.42","34.35","16.88","26.46","34.66","30.22"
"RWT","Redwood Trust, Inc.","US Stocks:Real Estate","-4.02","13.54","4.62","8.84","5.07","-1.68","23.51","16.04","26.89","29.28","34.96"
"RXO","RXO, Inc.","US Stocks:Industrials","191.68","16.20","39.68","44.81","0.32","0.32","42.59","11.84","47.48","48.73","46.62"
"SAFE","Safehold, Inc.","US Stocks:Real Estate","88.53","5.34","7.51","10.90","-15.32","-26.62","23.46","5.57","35.40","39.85","48.64"
"SABR","Sabre","US Stocks:Consumer Discretionary","400.69","-25.00","-28.46","-15.98","-20.99","-34.83","67.83","26.30","66.77","66.84","61.18"
"SAFT","Safety Insurance Group, Inc.","US Stocks:Financials","1.72","24.37","2.93","5.86","5.28","2.42","17.12","10.06","20.11","18.95","20.09"
"SAH","Sonic Automotive, Inc.","US Stocks:Consumer Discretionary","104.37","30.89","22.67","22.77","14.01","10.60","36.41","21.69","34.15","33.29","37.64"
"SANM","Sanmina Corporation","US Stocks:Technology","249.18","139.06","158.48","161.99","57.36","38.26","64.64","12.91","64.49","44.95","40.23"
"SBCF","Seacoast Banking Corporation of Florida","US Stocks:Financials","-22.60","1.55","35.44","37.10","14.62","0.32","20.40","9.99","17.02","28.36","28.10"
"SBH","Sally Beauty Holdings, Inc.","US Stocks:Consumer Discretionary","-24.38","-16.31","72.99","85.88","-1.46","-7.13","46.88","30.14","47.97","48.83","45.68"
"SBSI","Southside Bancshares, Inc.","US Stocks:Financials","8.71","42.55","19.93","23.24","4.40","1.13","17.77","8.72","15.44","29.86","26.39"
"SCHL","Scholastic Corporation","US Stocks:Consumer Discretionary","80.59","98.18","133.59","138.75","6.03","8.39","36.49","20.02","27.43","33.52","39.04"
"SCL","Stepan Company","US Stocks:Materials","-40.38","20.70","4.75","5.50","-19.20","-16.05","31.69","23.48","29.65","26.84","26.32"
"SCSC","ScanSource, Inc.","US Stocks:Technology","-10.64","-9.58","22.64","23.42","13.24","6.60","20.42","7.05","33.84","33.32","35.11"
"SDGR","Schrödinger, Inc.","US Stocks:Healthcare","-57.56","-71.86","-54.33","-53.72","-26.30","-30.64","48.36","31.15","30.28","64.63","60.33"
"SEDG","SolarEdge","US Stocks:Technology","81.97","9.47","227.66","252.63","-49.27","-31.45","82.49","52.90","72.03","75.23","69.00"
"SEM","Select Medical Holdings, Corp.","US Stocks:Healthcare","58.87","37.09","-7.32","-3.44","2.97","-1.88","1.82","0.66","26.73","33.53","36.62"
"SEZL","Sezzle","US Stocks:Financials","48.63","0.68","54.47","69.34","54.47","54.47","90.39","53.48","133.90","149.90","149.90"
"SFBS","ServisFirst Bancshares, Inc.","US Stocks:Financials","-7.69","24.33","12.22","14.42","17.24","6.72","25.30","10.69","27.91","44.82","39.28"
"SFNC","Simmons First National Corporation","US Stocks:Financials","36.39","47.38","19.72","22.21","13.76","-1.79","28.14","12.37","19.60","31.04","29.64"
"SHAK","Shake Shack, Inc.","US Stocks:Consumer Discretionary","71.87","16.16","12.20","10.26","22.11","-1.65","39.56","14.70","57.79","50.93","51.79"
"SHEN","Shenandoah Telecommunications Co","US Stocks:Communication Services","249.04","39.77","18.78","30.66","-6.49","-13.10","46.61","34.70","29.95","50.24","47.77"
"SHO","Sunstone Hotel Investors, Inc.","US Stocks:Real Estate","65.83","18.31","23.22","22.98","3.92","-2.32","17.72","7.89","17.04","20.07","25.02"
"SHOO","Steven Madden, Ltd.","US Stocks:Consumer Discretionary","-46.00","11.22","81.38","84.79","3.64","0.42","34.02","12.89","40.08","37.19","33.73"
"SIG","Signet Jewelers","US Stocks:Consumer Discretionary","-25.05","-31.71","45.11","48.63","4.66","7.85","38.84","21.95","34.38","44.56","44.61"
"SKT","Tanger Factory Outlet Centers, Inc.","US Stocks:Real Estate","73.47","24.76","18.10","19.45","30.42","22.04","14.77","6.15","22.92","21.04","28.53"
"SKY","Champion Homes, Inc.","US Stocks:Consumer Discretionary","-37.98","-2.70","-11.37","-5.74","-0.29","10.84","50.71","25.87","53.08","46.34","44.91"
"SKYW","SkyWest, Inc.","US Stocks:Industrials","-53.49","-36.61","-8.30","-5.76","49.55","9.88","42.84","28.25","32.15","39.37","44.07"
"SLG","SL Green Realty","US Stocks:Real Estate","-3.68","-31.58","-17.46","-14.76","28.80","-3.11","38.33","16.06","32.08","42.41","43.05"
"SLVM","Sylvamo Corp.","US Stocks:Materials","-38.39","4.03","-25.16","-23.94","1.72","1.72","26.62","13.35","25.16","35.10","46.84"
"SM","SM Energy Company","US Stocks:Energy","627.23","127.83","37.17","29.26","5.84","16.81","61.45","40.49","46.63","42.51","52.33"
"SMP","Standard Motor Products, Inc.","US Stocks:Consumer Discretionary","-21.71","-12.34","59.46","61.27","3.93","-0.00","27.50","13.59","35.31","31.08","30.46"
"SMPL","Simply Good Foods Company","US Stocks:Consumer Staples","-75.06","-55.23","-61.70","-60.86","-27.74","-16.73","89.71","71.40","21.97","25.68","28.16"
"SMTC","Semtech Corporation","US Stocks:Technology","110.82","93.50","228.40","214.35","67.35","7.66","69.58","36.09","40.99","69.01","64.09"
"SNDR","Schneider National","US Stocks:Industrials","3.87","76.60","40.45","42.74","5.15","5.99","28.17","12.26","28.39","29.94","28.90"
"SNEX","StoneX Group Inc.","US Stocks:Financials","332.68","150.46","77.18","79.71","51.23","41.97","34.52","6.81","35.63","32.25","32.07"
"SONO","Sonos, Inc.","US Stocks:Consumer Discretionary","2.77","-30.68","59.98","57.05","-10.92","-18.51","26.12","10.83","41.55","49.64","47.67"
"SPHR","Sphere Entertainment","US Stocks:Communication Services","370.93","316.93","369.99","360.53","72.71","27.49","40.87","14.91","44.43","59.57","53.17"
"SPNT","SiriusPoint Ltd.","US Stocks:Financials","78.83","58.32","40.13","43.71","35.99","17.25","21.53","8.85","24.32","27.97","34.81"
"SPSC","SPS Commerce, Inc.","US Stocks:Technology","-85.98","-75.29","-60.45","-59.88","-28.49","-11.90","49.94","35.67","41.72","40.31","37.71"
"SRPT","Sarepta Therapeutics","US Stocks:Healthcare","-11.48","-22.63","-66.40","-65.14","-45.36","-21.95","41.33","25.31","79.67","64.56","56.06"
"STAA","STAAR Surgical Company","US Stocks:Healthcare","213.42","-15.87","40.31","48.09","-28.92","-27.83","86.10","34.17","67.23","57.53","59.34"
"STBA","S&T Bancorp, Inc.","US Stocks:Financials","25.57","46.66","22.94","27.74","20.84","10.76","17.83","9.93","15.92","30.22","30.42"
"STC","Stewart Information Services Corporation","US Stocks:Financials","19.71","-8.08","11.09","13.62","23.49","7.52","25.89","8.19","30.27","29.05","30.23"
"STEL","Stellar Bancorp, Inc.","US Stocks:Financials","12.14","59.65","50.04","48.03","20.86","5.35","10.99","5.13","21.17","27.14","26.42"
"STEP","StepStone Group","US Stocks:Financials","-75.68","-36.03","4.43","5.11","33.94","11.94","51.88","26.16","46.37","38.53","41.00"
"STRA","Strategic Education, Inc.","US Stocks:Consumer Discretionary","-20.75","-8.79","1.13","-1.06","-2.64","1.60","53.53","47.40","27.08","29.09","30.39"
"SUPN","Supernus Pharmaceuticals, Inc.","US Stocks:Healthcare","-3.15","-15.19","50.54","51.12","8.79","9.18","27.07","16.00","40.82","37.31","32.66"
"SXI","Standex International Corporation","US Stocks:Industrials","20.09","11.30","81.76","97.51","28.58","22.70","38.83","20.77","28.36","30.71","30.07"
"SXT","Sensient Technologies","US Stocks:Materials","163.06","63.11","36.08","37.54","20.19","10.41","89.11","12.55","47.62","35.60","30.42"
"TALO","Talos Energy, Inc.","US Stocks:Energy","238.33","169.51","116.08","112.76","5.16","7.38","63.37","43.89","32.54","36.84","49.49"
"TBBK","The Bancorp, Inc.","US Stocks:Financials","-36.09","-41.97","25.82","26.61","30.04","23.24","25.77","15.86","35.59","40.89","42.23"
"TDC","Teradata","US Stocks:Technology","-38.71","51.12","21.73","19.30","-12.67","-12.25","38.56","22.44","43.91","40.11","37.61"
"TDS","Telephone and Data Systems, Inc.","US Stocks:Communication Services","6.87","29.05","18.37","21.79","66.93","16.97","26.20","11.21","18.49","102.31","85.64"
"TDW","Tidewater, Inc.","US Stocks:Energy","340.81","229.24","141.47","138.43","24.26","48.55","32.82","21.58","40.09","46.15","54.29"
"TFIN","Triumph Bancorp, Inc.","US Stocks:Financials","24.01","25.95","24.46","28.49","8.42","-5.59","41.80","23.73","32.61","37.81","42.36"
"TFX","Teleflex","US Stocks:Healthcare","159.50","2.36","-0.05","1.39","-20.24","-20.68","51.00","20.61","30.13","33.71","31.58"
"TGTX","TG Therapeutics, Inc.","US Stocks:Healthcare","50.65","-0.65","-20.10","-16.33","14.06","-3.96","39.86","20.02","39.82","69.02","82.91"
"THRM","Gentherm Incorporated","US Stocks:Consumer Discretionary","-55.23","-36.17","19.40","20.90","-19.98","-16.96","33.38","13.45","31.01","35.66","36.08"
"TILE","Interface, Inc.","US Stocks:Industrials","-41.71","-3.18","47.15","49.22","52.21","17.77","33.08","10.97","43.17","51.05","50.34"
"TMDX","TransMedics Group, Inc.","US Stocks:Healthcare","-76.11","-44.62","9.29","8.30","4.64","28.51","54.09","31.21","58.80","90.02","82.83"
"TMP","Tompkins Financial Corporation","US Stocks:Financials","58.90","63.46","46.00","50.06","16.23","5.16","27.13","14.08","18.11","32.75","28.88"
"TNC","Tennant Company","US Stocks:Industrials","35.67","0.37","13.50","15.20","7.62","1.63","23.68","5.77","32.68","30.37","28.45"
"TNDM","Tandem Diabetes Care","US Stocks:Healthcare","-18.45","47.75","3.95","3.16","-21.03","-27.96","56.46","30.08","71.71","80.06","70.00"
"TR","Tootsie Roll Industries, Inc.","US Stocks:Consumer Staples","89.63","52.73","39.82","41.07","2.74","9.33","25.52","13.90","28.15","22.66","24.04"
"TRIP","TripAdvisor","US Stocks:Communication Services","-45.47","-55.29","-12.79","-14.69","-14.74","-25.79","36.94","21.19","47.34","47.98","46.13"
"TRMK","Trustmark Corp.","US Stocks:Financials","25.05","33.84","34.76","39.88","26.86","9.83","20.95","10.91","14.64","29.02","28.36"
"TRN","Trinity Industries, Inc.","US Stocks:Industrials","47.79","23.89","28.92","30.45","13.08","6.90","33.13","19.47","33.45","35.86","36.86"
"TRNO","Terreno Realty Corporation","US Stocks:Real Estate","41.11","16.29","17.93","20.84","4.81","3.45","16.06","9.25","16.32","23.40","25.95"
"TRST","TrustCo Bank Corp NY","US Stocks:Financials","55.37","57.09","59.34","63.06","22.17","9.66","22.15","11.15","22.61","26.70","25.55"
"TRUP","Trupanion","US Stocks:Financials","-59.35","-66.77","-33.30","-31.09","-8.80","-20.84","46.30","33.17","45.53","66.32","63.88"
"TWO","Two Harbors Investment Corp.","US Stocks:Financials","-42.89","57.24","10.10","6.91","7.99","-5.03","20.02","5.66","24.07","26.00","31.07"
"UA","Under Armour (Class C)","US Stocks:Consumer Discretionary","-1.33","62.18","8.36","14.00","-9.68","-20.71","45.78","26.92","48.17","41.40","44.92"
"UAA","Under Armour (Class A)","US Stocks:Consumer Discretionary","6.75","61.84","6.56","12.08","-11.66","-22.92","46.01","26.13","49.29","43.78","46.72"
"UCB","United Community Banks, Inc.","US Stocks:Financials","-9.06","25.50","24.21","27.43","11.97","3.87","29.19","15.02","19.29","30.00","29.82"
"UCTT","Ultra Clean Holdings, Inc.","US Stocks:Technology","536.84","460.73","222.91","247.93","34.65","6.65","57.14","30.19","73.36","63.17","56.15"
"UE","Urban Edge Properties","US Stocks:Real Estate","79.34","14.36","20.66","24.61","18.35","7.67","18.69","10.97","15.43","20.54","22.67"
"UFCS","United Fire Group, Inc.","US Stocks:Financials","69.45","67.10","45.39","53.56","16.73","6.87","27.31","15.62","27.75","43.10","38.78"
"UFPT","UFP Technologies, Inc.","US Stocks:Healthcare","-66.58","-14.03","-11.61","-5.59","9.40","29.43","39.72","21.29","33.77","46.65","40.77"
"UHT","Universal Health Realty Income Trust","US Stocks:Real Estate","37.85","33.72","13.24","14.57","2.56","-4.10","17.50","11.47","14.65","20.90","23.30"
"UNF","UniFirst Corporation","US Stocks:Industrials","132.75","164.71","44.43","46.33","15.80","3.06","11.41","4.44","25.36","30.78","28.41"
"UNFI","United Natural Foods Inc","US Stocks:Consumer Staples","192.41","57.66","88.59","83.37","21.99","6.75","33.96","16.78","48.69","53.84","52.65"
